Company Name,Industry,Symbol,Series,ISIN Code
Aurobindo Pharma Limited,,AUROPHARMA,EQ,INE406A01037
Aurum PropTech Limited,,AURUM,EQ,INE898S01029
Ausom Enterprise Limited,,AUSOMENT,BE,INE218C01016
Automotive Axles Limited,,AUTOAXLES,EQ,INE449A01011
Autoline Industries Limited,,AUTOIND,BE,INE718H01014
Avadh Sugar & Energy Limited,,AVADHSUGAR,BE,INE349W01017
Avalon Technologies Limited,,AVALON,EQ,INE0LCL01028
Avantel Limited,,AVANTEL,EQ,INE005B01027
Avanti Feeds Limited,,AVANTIFEED,EQ,INE871C01038
AVG Logistics Limited,,AVG,EQ,INE680Z01018
Aditya Vision Limited,,AVL,EQ,INE679V01027
Avonmore Capital & Management Services Limited,,AVONMORE,EQ,INE323B01024
AVRO INDIA LIMITED,,AVROIND,EQ,INE652Z01025
AVT Natural Products Limited,,AVTNPL,EQ,INE488D01021
Awfis Space Solutions Limited,,AWFIS,EQ,INE108V01019
Antony Waste Handling Cell Limited,,AWHCL,EQ,INE01BK01022
AWL Agri Business Limited,,AWL,EQ,INE699H01024
Axis Bank Limited,,AXISBANK,EQ,INE238A01034
AXISCADES Technologies Limited,,AXISCADES,EQ,INE555B01013
Axita Cotton Limited,,AXITA,EQ,INE02EZ01022
Aye Finance Limited,,AYE,EQ,INE501X01029
AYM Syntex Limited,,AYMSYNTEX,EQ,INE193B01039
Azad Engineering Limited,,AZAD,EQ,INE02IJ01035
Bafna Pharmaceuticals Limited,,BAFNAPH,BE,INE878I01022
B.A.G Films and Media Limited,,BAGFILMS,EQ,INE116D01028
Baid Finserv Limited,,BAIDFIN,EQ,INE020D01022
Bajaj Auto Limited,,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Consumer Care Limited,,BAJAJCON,EQ,INE933K01021
Bajaj Electricals Limited,,BAJAJELEC,EQ,INE193E01025
Bajaj Finserv Limited,,BAJAJFINSV,EQ,INE918I01026
Bajaj Healthcare Limited,,BAJAJHCARE,EQ,INE411U01027
Bajaj Housing Finance Limited,,BAJAJHFL,EQ,INE377Y01014
Bajaj Hindusthan Sugar Limited,,BAJAJHIND,EQ,INE306A01021
Bajaj Holdings & Investment Limited,,BAJAJHLDNG,EQ,INE118A01012
Indef Manufacturing Limited,,BAJAJINDEF,EQ,INE0O9T01021
Bajaj Steel Industries Limited,,BAJAJST,EQ,INE704G01024
Bajel Projects Limited,,BAJEL,EQ,INE0KQN01018
Bajaj Finance Limited,,BAJFINANCE,EQ,INE296A01032
Shree Tirupati Balajee Agro Trading Company Limited,,BALAJEE,EQ,INE0S2G01011
Balaji Telefilms Limited,,BALAJITELE,EQ,INE794B01026
Balaji Amines Limited,,BALAMINES,EQ,INE050E01027
BALAXI PHARMACEUTICALS LIMITED,,BALAXI,BE,INE618N01022
Balkrishna Paper Mills Limited,,BALKRISHNA,EQ,INE875R01011
Balkrishna Industries Limited,,BALKRISIND,EQ,INE787D01026
Balmer Lawrie & Company Limited,,BALMLAWRIE,EQ,INE164A01016
Bal Pharma Limited,,BALPHARMA,EQ,INE083D01012
Balrampur Chini Mills Limited,,BALRAMCHIN,EQ,INE119A01028
Balu Forge Industries Limited,,BALUFORGE,EQ,INE011E01029
Banaras Beads Limited,,BANARBEADS,EQ,INE655B01011
Bannari Amman Sugars Limited,,BANARISUG,EQ,INE459A01010
Banco Products (I) Limited,,BANCOINDIA,EQ,INE213C01025
Bandhan Bank Limited,,BANDHANBNK,EQ,INE545U01014
Bang Overseas Limited,,BANG,EQ,INE863I01016
Banka BioLoo Limited,,BANKA,BE,INE862Y01015
Bank of Baroda,,BANKBARODA,EQ,INE028A01039
Bank of India,,BANKINDIA,EQ,INE084A01016
Bansal Wire Industries Limited,,BANSALWIRE,EQ,INE0B9K01025
Banswara Syntex Limited,,BANSWRAS,EQ,INE629D01020
BASF India Limited,,BASF,EQ,INE373A01013
Bannari Amman Spinning Mills Limited,,BASML,EQ,INE186H01022
Bata India Limited,,BATAINDIA,EQ,INE176A01028
Batliboi Limited,,BATLIBOI,EQ,INE177C01022
Bayer Cropscience Limited,,BAYERCROP,EQ,INE462A01022
Bharat Bijlee Limited,,BBL,EQ,INE464A01036
Black Box Limited,,BBOX,EQ,INE676A01027
The Bombay Burmah Trading Corporation Limited,,BBTC,EQ,INE050A01025
B&B Triplewall Containers Limited,,BBTCL,EQ,INE01EE01011
Brightcom Group Limited,,BCG,EQ,INE425B01027
Bcl Industries Limited,,BCLIND,EQ,INE412G01024
Brand Concepts Limited,,BCONCEPTS,EQ,INE977Y01011
BCPL Railway Infrastructure Limited,,BCPL,EQ,INE00SW01015
Bharat Dynamics Limited,,BDL,EQ,INE171Z01026
Beardsell Limited,,BEARDSELL,EQ,INE520H01022
Mrs. Bectors Food Specialities Limited,,BECTORFOOD,EQ,INE495P01020
Bedmutha Industries Limited,,BEDMUTHA,EQ,INE844K01012
Beekay Steel Industries Limited,,BEEKAY,EQ,INE213D01015
Bharat Electronics Limited,,BEL,EQ,INE263A01024
Bella Casa Fashion & Retail Limited,,BELLACASA,EQ,INE344T01014
Belrise Industries Limited,,BELRISE,EQ,INE894V01022
BEML Limited,,BEML,EQ,INE258A01024
Bengal & Assam Company Limited,,BENGALASM,EQ,INE083K01017
Bhansali Engineering Polymers Limited,,BEPL,EQ,INE922A01025
Berger Paints (I) Limited,,BERGEPAINT,EQ,INE463A01038
Best Agrolife Limited,,BESTAGRO,EQ,INE052T01021
Beta Drugs Limited,,BETA,EQ,INE351Y01019
BF Investment Limited,,BFINVEST,EQ,INE878K01010
BF Utilities Limited,,BFUTILITIE,EQ,INE243D01012
BGR Energy Systems Limited,,BGRENERGY,BE,INE661I01014
Bhagiradha Chemicals & Industries Limited,,BHAGCHEM,EQ,INE414D01027
Bhageria Industries Limited,,BHAGERIA,BE,INE354C01027
Bhagyanagar India Limited,,BHAGYANGR,BE,INE458B01036
Bhandari Hosiery Exports Limited,,BHANDARI,BE,INE474E01029
Bharat Coking Coal Limited,,BHARATCOAL,EQ,INE05XR01022
Bharat Forge Limited,,BHARATFORG,EQ,INE465A01025
Bharat Gears Limited,,BHARATGEAR,EQ,INE561C01019
Bharat Rasayan Limited,,BHARATRAS,EQ,INE838B01021
Bharat Seats Limited,,BHARATSE,EQ,INE415D01024
Bharat Wire Ropes Limited,,BHARATWIRE,EQ,INE316L01019
Bharti Airtel Limited,,BHARTIARTL,EQ,INE397D01024
Bharti Hexacom Limited,,BHARTIHEXA,EQ,INE343G01021
Bharat Heavy Electricals Limited,,BHEL,EQ,INE257A01026
Bilcare Limited,,BI,EQ,INE986A01012
Bigbloc Construction Limited,,BIGBLOC,EQ,INE412U01025
Bikaji Foods International Limited,,BIKAJI,EQ,INE00E101023
Bhartiya International Limited,,BIL,EQ,INE828A01016
BIL VYAPAR LIMITED,,BILVYAPAR,BE,INE071A01013
Bimetal Bearings Limited,,BIMETAL,EQ,INE469A01019
Biocon Limited,,BIOCON,EQ,INE376G01013
Biofil Chemicals & Pharmaceuticals Limited,,BIOFILCHEM,EQ,INE829A01014
Birla Cable Limited,,BIRLACABLE,BE,INE800A01015
Birla Corporation Limited,,BIRLACORPN,EQ,INE340A01012
Aditya Birla Money Limited,,BIRLAMONEY,EQ,INE865C01022
BirlaNu Limited,,BIRLANU,EQ,INE557A01011
Birla Precision Technologies Limited,,BIRLAPREC,EQ,INE372E01025
BLACKBUCK LIMITED,,BLACKBUCK,EQ,INE0UIZ01018
Black Rose Inds. Limited,,BLACKROSE,EQ,INE761G01016
BEML Land Assets Limited,,BLAL,EQ,INE0N7W01012
